"word","eng_level","count"
"class","C1",191087771
"still","A1",190433487
"still","A2",190433487
"money","A1",190205072
"quality","B1",189509533
"quality","A2",189509533
"every","A1",189325890
"content","B2",188880495
"content","B1",188880495
"country","A2",188691168
"private","A2",187885878
"little","A1",187142519
"little","B1",187142519
"visit","A1",187062316
"save","A1",186091095
"low","A2",184815478
"reply","A2",184777992
"reply","B1",184777992
"customer","A2",184406888
"compare","A2",183202885
"include","A2",182579275
"college","A1",182545426
"value","A2",182061247
"value","B2",182061247
"article","A1",181969355
"man","A1",181445531
"man","C1",181445531
"card","A1",181387042
"provide","A2",181040994
"food","A1",180144029
"source","A2",179963886
"author","A2",179813446
"different","A1",179794224
"press","B1",179652730
"learn","A1",179428286
"sale","A1",179224570
"around","A2",178810033
"around","A1",178810033
"print","B1",178250872
"print","A2",178250872
"course","A1",177976652
"job","A1",177706929
"process","B1",176829177
"process","B2",176829177
"teen","B1",176301486
"room","A1",176299905
"room","B1",176299905
"stock","B2",176295589
"stock","C1",176295589
"training","A2",176129154
"too","A1",176093255
"credit","A2",175916536
"point","A1",175527859
"point","A2",175527859
"join","A1",174297802
"science","A1",174232809
"advanced","A2",173422161
"west","A2",173346868
"look","A1",173043002
"left","A1",171752631
"left","A2",171752631
"team","A1",171687825
"estate","B2",169256248
"box","A1",169231297
"select","B1",168673045
"select","B2",168673045
"gay","B1",167587791
"thread","B2",167518537
"week","A1",167202060
"category","B1",166811948
"note","A1",166657334
"live","B1",166005029
"live","A1",166005029
"large","A1",165863763
"gallery","A2",165671626
"table","A1",165341452
"register","B1",164834442
"however","A2",163957176
"market","A2",162390150
"market","B1",162390150
"library","A1",162076395
"really","A1",162033390
"action","A1",162023431
"start","A1",161913408
"series","B1",161518557
"model","B1",161205740
"model","A2",161205740
"air","A2",160850401
"industry","B1",160812623
"plan","A1",160746244
"plan","B1",160746244
"human","A2",160573748
"human","B1",160573748
"provided","B1",159785849
"yes","A1",159595214
"second","A1",159343399
"second","B1",159343399
"second","A2",159343399
"hot","A1",159287179
"cost","A2",158887256
"movie","A1",158421100
"march","B1",158281269
"better","A1",157079378
"better","A2",157079378
"say","B2",156845267
"say","A1",156845267
"medical","A2",155254497
"test","A1",154999587
"test","B2",154999587
"friend","A1",154527125
"come","A1",154326119
"server","B1",153788544
"study","A2",152978354
"study","A1",152978354
"application","B1",152776595
"staff","A2",151553180
"feedback","B2",151008079
"again","A1",150781416
"play","A1",150748333
"never","A1",149556758
"complete","A2",149312237
"complete","B1",149312237
"street","A1",149130754
"topic","A1",149001702
"comment","B1",148628729
"comment","B2",148628729
"financial","B1",148330257
"working","B1",147675944
"against","A2",147259825
"standard","B2",147177212
"standard","B1",147177212
"tax","B1",146906651
"person","A1",146749448
"below","A1",145701629
"mobile","A2",145490029
"mobile","A1",145490029
"less","A2",145430147
"blog","B1",145041426
"party","A1",144707500
"payment","B2",144646164
"equipment","B1",144298238
"student","A1",143590165
"let","A1",143062438
"legal","B1",142048771
"above","B1",141894620
"above","A1",141894620
"recent","A2",141765729
"park","A1",141548802
"park","A2",141548802
"side","A1",141155373
"act","A2",141076205
"act","B1",141076205
"problem","A1",141012024
"red","A1",140799532
"red","A2",140799532
"give","A1",140688602
"memory","A1",140479833
"performance","A2",139710600
"social","A1",139566375
"quote","B2",139242226
"language","A1",138517992
"story","A1",138433809
"sell","A1",137696613
"experience","A2",137134662
"experience","B1",137134662
"create","A2",137071122
"key","A1",136862835
"body","A1",136560842
"young","A1",136341684
"important","A1",136103455
"field","A1",135289140
"few","A2",135132664
"few","B1",135132664
"east","A2",135037085
"paper","A1",134939426
"single","A2",134754203
"single","B1",134754203
"age","A1",132725767
"club","A1",132428495
"example","A1",132369252
"additional","A2",132187702
"password","B1",132141721
"latest","A2",131952173
"something","A1",131836210
"road","A2",131800620
"gift","A1",131417909
"question","A1",130644510
"question","B2",130644510
"night","A1",130531484
"hard","A1",130054708
"pay","A1",129198530
"four","A1",129167110
"status","B1",128994593
"browse","B2",128740445
"issue","A2",128427156
"issue","B2",128427156
"range","A2",128314924
"range","B2",128314924
"building","A1",128251365
"seller","B2",127768853
"court","A2",127719981
"always","A1",127634767
"result","A1",127425045
"result","B1",127425045
"audio","A2",127014703
"light","A1",126699632
"light","B1",126699632
"write","A1",126645151
"war","A1",126517399
"offer","A2",126228968
"blue","A1",126160941
"easy","A1",125548527
"given","A2",125542966
"event","A1",125515260
"release","A2",125340846
"release","B1",125340846
"analysis","B1",124949540
"request","A2",124620318
"request","B1",124620318
"fax","B1",124500817
"picture","A1",124116581
"picture","B2",124116581
"possible","A2",123311561
"might","A2",123196001
"professional","A2",123162607
"professional","B2",123162607
"yet","A1",123160529
"yet","B1",123160529
"month","A1",123027963
"major","A2",122592252
"major","B2",122592252
"star","A1",122498186
"star","B1",122498186
"future","B1",121844371
"future","A1",121844371
"space","A2",121505269
"committee","A2",121345834
"hand","A1",121296661
"hand","A2",121296661
"sun","A1",121218500
"meeting","A1",120814306
"become","A1",120495036
"interest","A2",120272948
"interest","B1",120272948
"child","A1",119747393
"keep","A1",119602514
"enter","A2",119394206
"share","A2",119294241
"share","A1",119294241
"similar","A2",119150817
"garden","A1",119014988
"million","A2",118818608
"reference","B2",118127636
"baby","A1",117696064
"learning","B2",117672845
"energy","B2",117451031
"run","A1",117213565
"delivery","B1",117119498
"net","A2",116883588
"net","B1",116883588
"popular","A2",116495721
"term","B1",116282824
"film","A2",116097842
"film","B1",116097842
"put","A1",115205090
"journal","B1",114532201
"try","A1",114384208
"try","A2",114384208
"welcome","B1",114025350
"welcome","A1",114025350
"welcome","B2",114025350
"central","B1",113841948
"president","B1",113756376
"notice","A2",113691786
"notice","B1",113691786
"god","B2",113624357
"original","A2",113453183
"original","B2",113453183
"head","A1",113316224
"head","A2",113316224
"radio","A1",113285624
"until","B1",113090086
"until","A1",113090086
"cell","B1",113067567
"self","A1",112902176
"council","B1",112893718
"away","A1",112837472
"track","A2",112385243
"track","B2",112385243
"discussion","A2",111973466
"once","A1",111882023
"once","B2",111882023
"entertainment","A2",111394818
"agreement","B1",111356320
"format","B1",111279626
"least","B1",111229798
"least","A2",111229798
"least","B2",111229798
"society","A2",111199035
"log","B1",111170350
"safety","B1",111064464
"sure","A1",110528740
"sure","A2",110528740
"trade","A2",110086585
"trade","B2",110086585
"edition","B1",110051463
"marketing","B2",109596213
"tell","A1",109553730
"further","A2",109528141
"further","B1",109528141
"association","A2",109416386
"able","B1",109389038
"fun","A1",108389630
"already","A1",108324565
"green","A1",108287905
"green","A2",108287905
"close","A1",107853068
"common","A2",107839275
"drive","A1",107799371
"drive","A2",107799371
"drive","C1",107799371
"specific","A2",107785779
"several","A2",107589584
"gold","A1",107497778
"gold","A2",107497778
"living","A1",107215961
"living","B2",107215961
"collection","A1",107121885
"short","A1",106755242
"lot","A1",106405208
"lot","A2",106405208
"ask","A1",106400213
"display","A2",106342539
"display","B1",106342539
"limited","B1",106154969
"means","B2",105946662
"director","A2",105891641
"daily","A2",105837757
"beach","A1",105642682
"past","B1",105625616
"past","A1",105625616
"natural","A2",105101771
"whether","B1",105014961
"due","A1",104908310
"electronics","B2",104230315
"five","A1",104165769
"upon","A2",103921220
"period","A1",103906182
"planning","B2",103878661
"database","B2",103731642
"official","A2",103521037
"official","B2",103521037
"weather","A1",103331913
"land","B1",103132933
"land","A2",103132933
"average","A2",102837602
"done","A2",102812628
"technical","B2",102792861
"window","A1",102711715
"pro","A2",102580860
"region","B1",102552342
"island","A1",102316998
"record","B1",102234743
"record","A2",102234743
"direct","A2",102234090
"direct","B1",102234090
"conference","B2",101987691
"environment","B2",101959294
"district","B1",101325723
"calendar","A2",101303808
"style","A2",101024266
"front","A1",100886343
"front","A2",100886343
"statement","A2",100868970
"update","B2",100765188
"update","B1",100765188
"ever","A2",100264634
"early","A2",100013194
"early","A1",100013194
"sound","B2",100010833
"sound","A2",100010833
"resource","B1",99964083
"present","B1",99420744
"present","A1",99420744
"present","B2",99420744
"either","A1",99143011
"either","A2",99143011
"either","B1",99143011
"ago","A1",98839705
"document","B1",98703772
"word","A1",98671341
"material","A2",98528318
"bill","A2",98494166
"bill","B1",98494166
"written","B1",98056850
"talk","B1",97850837
"talk","A1",97850837
"federal","B2",97837595
"final","A2",97649084
"adult","A2",97583096
"thing","A1",97451660
"via","B1",97167128
"cheap","A2",97049762
"finance","B2",96554164
"finance","B1",96554164
"true","A1",96269550
"else","A1",96020036
"mark","A2",95606752
"third","A2",95489240
"rock","A2",95488543
"rock","B2",95488543
"reading","A1",95289449
"bad","A1",95096787
"individual","B1",94815082
"individual","B2",94815082
"plus","B1",94730251
"plus","B2",94730251
"plus","A2",94730251
"cover","A1",94501729
"cover","A2",94501729
"usually","A1",94477370
"edit","B2",94159529
"together","A1",94113765
"fast","A1",93941472
"function","B1",93878887
"function","A2",93878887
"fact","A2",93807963
"unit","A2",93714361
"global","B1",93450595
"meet","A1",93275872
"far","B2",93061804
"far","A2",93061804
"economic","B1",93044306
"player","A1",92709785
"lyrics","B2",92579731
"often","A1",92551460
"submit","B2",92431559
"amount","B1",92039679
"watch","A1",92006970
"feel","A2",91924001
"feel","A1",91924001
"though","B2",91905891
"though","A2",91905891
"bank","A1",91559349
"bank","A2",91559349
"risk","B1",91486135
"risk","B2",91486135
"thanks","A1",91398411
"everything","A1",91388083
"various","B1",91156139
"production","A2",90612739
"commercial","B1",90554932
"commercial","B2",90554932
"weight","A2",90506560
"town","A1",90478880
"heart","A1",90249265
"advertising","A2",90210309
"choose","A1",90010174
"treatment","B1",90001988
"knowledge","A2",89749339
"magazine","A1",89744012
"error","A2",89396475
"camera","A1",89324930
"girl","A1",89139125
"currently","B1",89075990
"construction","B1",88770071
"clear","A2",88447610
"clear","B1",88447610
"golf","A2",88332962
"receive","A2",88328938
"chapter","A2",87882874
"protection","B1",87824220
"loan","B2",87785549
"wide","A2",87661475
"beauty","A2",87572240
"manager","A2",87441704
"position","A2",87139187
"sort","B1",86985936
"sort","B2",86985936
"known","B2",86395556
"half","B1",86290420
"half","A2",86290420
"half","A1",86290420
"step","A2",86147277
"step","A1",86147277
"engineering","B1",85964618
"simple","A2",85617922
"quick","A2",85584600
"none","B1",85523201
"lake","A2",85241485
"whole","A2",85202530
"whole","B1",85202530
"annual","B1",85043687
"later","B2",84857974
"later","A1",84857974
"basic","A2",84840226
"corporate","B2",84697675
"church","A1",84556943
"method","A2",84399520
"purchase","B2",84333183
"active","B1",84084764
"response","A2",84065293
"practice","A1",84037810
"hardware","B2",84002445
"figure","A2",83949754
"fire","A1",83845349
"fire","B2",83845349
"holiday","A1",83671730
"chat","B1",83625620
"chat","A2",83625620
"enough","A2",83592616
"along","A1",83444756
"along","A2",83444756
"among","A2",83431590
"death","A2",83216831
"writing","A2",83166717
"speed","A2",83135749
"speed","B1",83135749
"loss","B1",83015916
"face","A1",82807978
"face","A2",82807978
"brand","A2",82807581
"discount","B1",82646962
"remember","A1",82222044
"oil","A2",82178167
"bit","A2",82113875
"yellow","A1",82024459
"political","A2",82021775
"increase","B1",81983061
"increase","A2",81983061
"advertise","B1",81965610
"kingdom","A2",81913366
"base","A2",81894680
"base","B1",81894680
"near","B1",81652767
"near","A1",81652767
"environmental","B1",81596309
"thought","A2",81561217
"stuff","A2",81444510
"stuff","B2",81444510
"storage","B1",81320471
"doing","A1",80821946
"entry","B1",80717798
"stay","B1",80694073
"stay","A1",80694073
"nature","A2",80659036
"nature","C1",80659036
"availability","B2",80583907
"summary","A2",80526622
"turn","A1",80328029
"mean","A2",80312172
"mean","B2",80312172
"mean","A1",80312172
"growth","B1",79998480
"agency","A2",79915539
"agency","C2",79915539
"king","A1",79791224
"activity","A1",79633609
"copy","A1",79615682
"copy","A2",79615682
"although","A2",79579407
"drug","A2",79424420
"western","B2",79255339
"income","B1",79240506
"force","A2",79199815
"force","B2",79199815
"cash","A2",79172952
"employment","B1",79105156
"overall","B2",78992643
"bay","A2",78967124
"river","A1",78843808
"commission","B2",78817488
"commission","C1",78817488
"commission","C2",78817488
"ad","B1",78774169
"package","B1",78421168
"engine","B1",78078059
"port","B1",78051775
"album","A1",77914316
"regional","B1",77752808
"stop","A1",77749471
"administration","B1",77515175
"bar","A1",77375075
"bar","B1",77375075
"institute","B1",77353032
"institute","C1",77353032
"double","A2",77287578
"double","B2",77287578
"dog","A1",77271631
"build","A1",77203075
"screen","A2",77183863
"screen","B2",77183863
"exchange","A2",77079447
"exchange","B1",77079447
"soon","A1",77038135
"electronic","B1",76707502
"continue","A2",76659163
"across","A2",76597151
"season","B1",76445684
"apply","A2",76341478
"someone","A1",76212141
"anything","A1",75985266
"printer","A2",75976795
"condition","A2",75963033
"condition","C1",75963033
"effective","B1",75960822
"believe","A1",75918053
"effect","A2",75594829
"mind","A1",75393868
"mind","A2",75393868
"selection","B1",75196717
"lost","A2",74748656
"tour","A2",74702459
"tour","B1",74702459
"menu","A2",74359141
"volume","B1",74283471
"cross","A2",74230978
"anyone","A1",74170036
"mortgage","B2",74160962
"hope","A1",74145758
"hope","B1",74145758
"silver","A2",74073467
"corporation","B2",74073375
"wish","A1",74043644
"wish","A2",74043644
"inside","B2",74026748
"inside","A2",74026748
"inside","A1",74026748
"solution","A2",74000589
"mature","B2",73877124
"role","A1",73689002
"rather","A2",73664932
"addition","A2",73434482
"supply","B1",73220509
"supply","B2",73220509
"nothing","A1",73183983
"certain","A2",73108213
"executive","B2",73010727
"running","A2",72879426
"lower","B2",72606927
"necessary","A2",72604405
"union","B1",72603888
"clothing","B2",72455943
"particular","B2",72056920
"fine","A1",71972425
"fine","B2",71972425
"fine","B1",71972425
"hour","A1",71765763
"gas","A2",71518871
"six","A1",71366336
"bush","A2",71289039
"advice","A2",71268723
"career","B1",71248807
"military","A2",71229404
"rental","B2",71013577
"decision","B1",71006471
"leave","B1",70957750
"leave","A1",70957750
"huge","B1",70639535
"woman","A1",70613606
"facilities","B2",70595127
"zip","B2",70551270
"bid","B2",70427114
"kind","A2",70420316
"kind","A1",70420316
"middle","A1",70164946
"middle","A2",70164946
"move","A1",70113140
"move","A2",70113140
"cable","B2",70082598
"division","B2",69921273
"object","B1",69819261
"object","B2",69819261
"appropriate","A2",69671201
"machine","A1",69665958
"logo","B1",69529976
"length","B1",69469598
"actually","A2",69444655
"nice","A1",69395609
"score","B1",69315004
"statistics","B2",69194446
"client","B2",69189527
"capital","A2",68991999
"follow","A2",68982994
"sample","A2",68957421
"investment","B2",68891129
"culture","A1",68606429
"band","A1",68569061
"flash","B1",68391647
"flash","B2",68391647
"lead","B1",68325439
"lead","A2",68325439
"choice","A2",68222335
"registration","B1",68025615
"consumer","B1",67665809
"hi","A1",67566273
"airport","A1",67473261
"foreign","A1",67443436
"artist","B1",67421654
"outside","B2",67415846
"outside","A1",67415846
"outside","A2",67415846
"furniture","A2",67398005
"channel","B1",67352673
"letter","A1",67339854
"structure","A2",67191517
"fund","B1",67128807
"summer","A1",67102388
"allow","A2",67052567
"degree","A2",67029686
"contract","B2",66895933
"contract","C1",66895933
"button","A1",66811153
"wed","B2",66796198
"super","A1",66703287
"male","B1",66638842
"male","A2",66638842
"matter","A1",66632805
"matter","A2",66632805
"custom","A2",66594716
"almost","A1",66395121
"multiple","B2",66171358
"distribution","B1",66074142
"editor","A2",66014490
"industrial","B1",65921648
"cause","B2",65904680
"cause","A2",65904680
"potential","B2",65835469
"potential","B1",65835469
"song","A1",65832126
"focus","B2",65626732
"focus","A1",65626732
"late","A1",65574606
"fall","B1",65501110
"fall","A2",65501110
"idea","A1",65459222
"female","A2",65407567
"female","B2",65407567
"responsible","B1",65319659
"win","B2",65264239
"win","A1",65264239
"primary","B2",65139325
"cancer","B1",65078084
"reason","A1",65066679
"tool","A1",65009731
"browser","B2",64824987
"spring","A1",64814116
"foundation","B1",64753514
"answer","A1",64649558
"voice","A2",64600528
"voice","C1",64600528
"friendly","B2",64542291
"schedule","A2",64504515
"schedule","B2",64504515
"communication","A2",64378554
"purpose","A2",64314952
"feature","A2",64288914
"feature","B2",64288914
"bed","A1",64262881
"police","A2",64198152
"everyone","A1",64197954
"independent","B1",64169624
"approach","B1",64158347
"approach","B2",64158347
"brown","A1",64112042
"brown","A2",64112042
"physical","A2",64090052
"hill","A1",64008398
"medicine","A1",63831932
"deal","A2",63828244
"deal","B1",63828244
"hold","A1",63777575
"hold","A2",63777575
"glass","A1",63559754
"happy","A1",63471922
"smith","A1",63357901
"developed","A2",63250401
"thank","A1",63234550
"safe","A2",63168116
"unique","B1",63116899
"survey","A1",62994830
"prior","B2",62949059
"telephone","A1",62896274
"telephone","A2",62896274
"sport","A1",62683851
"ready","A1",62667516
"feed","A1",62663785
"feed","B1",62663785
"animal","A1",62566660
"population","A2",62452044
"pa","B2",62377151
"regular","A2",62308697
"secure","B1",62287766
"secure","C2",62287766
"navigation","B2",62202958
"therefore","A2",62082477
"simply","A2",62012991
"evidence","A2",62012277
"station","A1",61892291
"round","B1",61836702
"round","A2",61836702
"round","B2",61836702
"understand","A2",61719969
"option","B1",61717435
"master","B2",61704297
"valley","A2",61694845
"recently","A2",61635402
"probably","A2",61626696
"sea","A1",61532852
"blood","A2",61348302
"cut","B1",61337417
"cut","A1",61337417
"worldwide","B2",61319870
"worldwide","A2",61319870
"improve","A2",61305614
"publisher","B1",61290306
"hall","A1",61265768
"anti","B1",61227238
"earth","A2",61059905
"impact","A2",61017528
"transfer","B2",61011470
"transfer","B1",61011470
"introduction","B1",61004175
"kitchen","A1",60975784
"strong","A1",60969207
"wedding","A2",60758332
"hospital","A1",60720801
"ground","A1",60679179
"ground","C1",60679179
"ship","A1",60649546
"ship","B1",60649546
"accommodation","B2",60589803
"disease","B1",60540973
"excellent","A1",60316327
"paid","B1",60294928
"perfect","A2",60179071
"perfect","C1",60179071
"hair","A1",60054650
"opportunity","A2",60033252
"kit","A2",59963349
"classic","A2",59957722
"classic","B2",59957722
"basis","B1",59901425
"command","B1",59870370
"express","A2",59797675
"express","B1",59797675
"award","A2",59652161
"award","B1",59652161
"distance","B1",59651113
"tree","A1",59622952
"assessment","B2",59513100
"ensure","B1",59507606
"thus","B1",59447388
"wall","A1",59430375
"involved","B1",59408103
"extra","A2",59377307
"extra","B1",59377307
"especially","A2",59336380
"budget","B2",59106421
"budget","A2",59106421
"success","A2",58986603
"maximum","B1",58933430
"operation","B1",58855769
"existing","B2",58803077
"quite","A2",58777731
"boy","A1",58664244
"beautiful","A1",58503804
"warning","B1",58498692
"wine","A2",58491725
"horse","A1",58453720
"vote","A1",58387028
"vote","B1",58387028
"forward","A2",58382492
"significant","A2",58338630
"owner","A1",58189056
"retail","B1",58185466
"useful","A2",58144584
"directly","B1",58144287
"manufacturer","B2",58125159
"son","A1",58094311
"rule","A1",57912422
"rule","B2",57912422
"bring","A1",57608074
"max","A2",57481472
"trying","C1",57462639
"mother","A1",57432704
"authority","B1",57403313
"traffic","A2",57241247
"input","B2",57191675
"strategy","A2",57170155
"agent","A2",57103658
"valid","B2",57094711
"bin","B1",57076312
"modern","A2",57030009
"senior","A2",56934903
"sexy","B2",56756180
"teaching","B1",56677377
"door","A1",56638839
"grand","B2",56599468
"trial","B2",56547673
"charge","B1",56542418
"instead","A2",56499843
"cool","A1",56471180
"cool","B2",56471180
"normal","A2",56442762
